Nom,age,nationnalité,Position,res Position,valeur marchande,venant de 1,venant de 2,montant de la transaction,team_acheteur,team vendeur
Stijn SpieringsS. Spierings,27,Pays-Bas,Milieu défensif,MDC,"5,00 mio. €",RC Lens,France,Tr. libre,,Toulouse FC
Sam SannaSam Sanna,24,France,Milieu défensif,MDC,700 K €,Stade Lavallois,France,Tr. libre,,Toulouse FC
Anthony RouaultA. Rouault,22,France,Défenseur central,DC,"10,00 mio. €",VfB Stuttgart,Allemagne,Prêt,,Toulouse FC
Said HamulicS. Hamulic,22,Bosnie-Herzégovine,Avant-centre,AC,"1,50 mio. €",Vitesse Arnhem,Pays-Bas,Prêt,,Toulouse FC
Junior FlemmingsJ. Flemmings,27,Jamaïque,Ailier gauche,AiG,350 K €,FK Vozdovac,Serbie,Prêt,,Toulouse FC
Veljko BirmancevicV. Birmancevic,25,Serbie,Ailier gauche,AiG,"3,00 mio. €",AC Sparta Prague,Tchéquie,Prêt,,Toulouse FC
Kjetil HaugK. Haug,25,Norvège,Gardien de but,GdB,400 K €,Sarpsborg 08 FF,Norvège,Prêt,,Toulouse FC
Theocharis TsingarasT. Tsingaras,22,Grèce,Milieu central,MC,"1,20 mio. €",PAOK Thessaloniki,Grèce,Fin du prêt30 juin 2023,,Toulouse FC
Mahdi CamaraM. Camara,25,France,Milieu central,MC,"5,00 mio. €",AS Saint-Étienne,France,"3,00 mio. €",Stade Brestois 29,
Bradley LockoB. Locko,21,France,Arrière gauche,ArG,"5,00 mio. €",Stade de Reims,France,500 K €,Stade Brestois 29,
Jonas MartinJ. Martin,33,France,Milieu défensif,MDC,"1,50 mio. €",LOSC Lille,France,Tr. libre,Stade Brestois 29,
Adrien LebeauA. Lebeau,24,France,Ailier gauche,AiG,250 K €,SV Waldhof Mannheim,Allemagne,Tr. libre,Stade Brestois 29,
Martín SatrianoM. Satriano,22,Uruguay,Avant-centre,AC,"7,00 mio. €",Inter Milan,Italie,Prêt,Stade Brestois 29,
Jordan AmaviJ. Amavi,29,France,Arrière gauche,ArG,"2,00 mio. €",Olympique de Marseille,France,Prêt,Stade Brestois 29,
Billal BrahimiB. Brahimi,23,Algérie,Ailier gauche,AiG,"5,00 mio. €",OGC Nice,France,Prêt,Stade Brestois 29,
Julien Le CardinalJ. Le Cardinal,26,France,Arrière droit,ArD,"2,00 mio. €",RC Lens,France,Prêt,Stade Brestois 29,
Kamory DoumbiaK. Doumbia,20,Mali,Milieu offensif,MO,"2,50 mio. €",Stade de Reims,France,Prêt,Stade Brestois 29,
Yan MarillatY. Marillat,29,France,Gardien de but,GdB,200 K €,Sans club,   Sans club,-,Stade Brestois 29,
Luck ZogbéL. Zogbé,18,Côte d'Ivoire,Arrière droit,ArD,-,Sans club,   Sans club,-,Stade Brestois 29,
Axel CamblanA. Camblan,19,France,Milieu gauche,MG,400 K €,US Concarneau,France,Fin du prêt30 juin 2023,Stade Brestois 29,
Jere UronenJ. Uronen,28,Finlande,Arrière gauche,ArG,"1,00 mio. €",FC Schalke 04,Allemagne,Fin du prêt30 juin 2023,Stade Brestois 29,
Hianga'a MbockH. Mbock,23,France,Milieu central,MC,"1,20 mio. €",SM Caen,France,Fin du prêt30 juin 2023,Stade Brestois 29,
Franck HonoratF. Honorat,26,France,Ailier droit,AiD,"10,00 mio. €",Borussia Mönchengladbach,Allemagne,"8,00 mio. €",,Stade Brestois 29
Jere UronenJ. Uronen,29,Finlande,Arrière gauche,ArG,"1,00 mio. €",Charlotte FC,États-Unis,600 K €,,Stade Brestois 29
Noah FadigaN. Fadiga,23,Sénégal,Arrière droit,ArD,"1,20 mio. €",KAA La Gantoise,Belgique,Tr. libre,,Stade Brestois 29
Haris BelkeblaH. Belkebla,29,Algérie,Milieu central,MC,"2,50 mio. €",Ohod Club,Arabie Saoudite,Tr. libre,,Stade Brestois 29
Jean-Kévin DuverneJ. Duverne,26,Haïti,Défenseur central,DC,"4,00 mio. €",FC Nantes,France,Tr. libre,,Stade Brestois 29
Christophe HérelleC. Hérelle,31,Martinique,Défenseur central,DC,"2,00 mio. €",FC Metz,France,?,,Stade Brestois 29
Karamoko DembéléK. Dembélé,20,Angleterre,Ailier droit,AiD,500 K €,Blackpool FC,Angleterre,Prêt,,Stade Brestois 29
Taïryk ArconteT. Arconte,19,Guadeloupe,Ailier droit,AiD,500 K €,Rodez AF,France,Prêt,,Stade Brestois 29
Hianga'a MbockH. Mbock,23,France,Milieu central,MC,"1,20 mio. €",SM Caen,France,Prêt,,Stade Brestois 29
Loïc RémyL. Rémy,36,France,Avant-centre,AC,-,Sans club,   Sans club,-,,Stade Brestois 29
Bradley LockoB. Locko,21,France,Arrière gauche,ArG,"5,00 mio. €",Stade de Reims,France,Fin du prêt30 juin 2023,,Stade Brestois 29
Félix LemaréchalF. Lemaréchal,19,France,Milieu central,MC,"1,00 mio. €",AS Monaco,France,Fin du prêt30 juin 2023,,Stade Brestois 29
Alberth ElisA. Elis,27,Honduras,Ailier droit,AiD,"2,00 mio. €",FC Girondins de Bordeaux,France,Fin du prêt30 juin 2023,,Stade Brestois 29
Mahdi CamaraM. Camara,25,France,Milieu central,MC,"5,00 mio. €",AS Saint-Étienne,France,Fin du prêt30 juin 2023,,Stade Brestois 29
Joaquín BlázquezJ. Blázquez,22,Argentine,Gardien de but,GdB,400 K €,CA Talleres,Argentine,Fin du prêt30 juin 2023,,Stade Brestois 29
